Track Name,Artist Name(s),Decade,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Time Signature
Ambitionz Az A Ridah,2Pac,90,278386,79,0.801,0.91,2,-6.566,0.225,0.00239,0.0737,0.805,87.277,4
Whirlwind Thru Cities,Afu-Ra,90,239413,56,0.842,0.858,10,-3.731,0.253,0.214,0.475,0.736,90.312,4
Grown Man Sport,"Pete Rock,InI",90,276373,56,0.802,0.757,7,-8.01,0.316,0.476,0.163,0.605,88.031,4
You Never Knew,Hieroglyphics,90,273573,52,0.73,0.837,6,-5.359,0.281,0.385,0.321,0.867,92.127,4
Who Got Da Props,Black Moon,90,270066,54,0.805,0.653,8,-11.251,0.185,0.138,0.1,0.257,100.349,4
1st of Tha Month,Bone Thugs-N-Harmony,90,314680,65,0.729,0.581,5,-8.235,0.18,0.0777,0.696,0.508,74.038,4
When I B On Tha Mic,Rakim,90,222933,64,0.836,0.484,2,-7.332,0.327,0.0454,0.0557,0.839,95.941,4
Live at the Barbeque - 2017 Remastered Version,"Main Source,Nas",90,275090,50,0.767,0.909,6,-4.347,0.276,0.0794,0.389,0.389,102.068,4
Ms. Fat Booty,Mos Def,90,223546,70,0.782,0.589,1,-4.827,0.189,0.148,0.164,0.869,90.438,4
Nuthin' But A G Thang,"Dr. Dre,Snoop Dogg",90,238466,4,0.801,0.699,11,-8.18,0.279,0.00575,0.146,0.655,94.605,4
Just Don't Give A Fuck,Eminem,90,242573,61,0.539,0.931,4,-1.803,0.262,0.000713,0.204,0.685,85.571,4
Uknowhowwedu,Bahamadia,90,214866,59,0.534,0.596,6,-10.289,0.388,0.641,0.276,0.908,185.733,4
All Eyez On Me (ft. Big Syke),"2Pac,Big Syke",90,307773,77,0.872,0.723,1,-5.968,0.247,0.0293,0.327,0.843,93.279,4
"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)","Wu-Tang Clan,Ol' Dirty Bastard,Inspectah Deck,Method Man,Cappadonna,U-God,RZA,GZA,Masta Killa,Ghostface Killah,Raekwon",90,338186,63,0.739,0.639,2,-6.959,0.358,0.000918,0.352,0.323,91.121,4
Luchini AKA This Is It,Camp Lo,90,240093,57,0.721,0.949,6,-5.685,0.278,0.0495,0.327,0.835,83.028,4
Gotta Get Mine,MC Breed,90,264760,55,0.855,0.52,7,-12.07,0.268,0.184,0.114,0.402,92.451,4
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Craig Mack,90,302013,56,0.52,0.847,9,-5.3,0.427,0.275,0.325,0.799,177.377,4
Word Iz Life,Poor Righteous Teachers,90,270240,52,0.738,0.88,10,-5.364,0.316,0.0175,0.087,0.771,86.99,4
What They Do,The Roots,90,357200,59,0.885,0.414,0,-10.539,0.168,0.341,0.0891,0.683,92.727,4
Player's Ball,Outkast,90,261266,59,0.857,0.764,1,-6.304,0.246,0.0398,0.425,0.578,93.071,4
Leflaur Leflah Eshkoshka,Heltah Skeltah,90,302973,48,0.797,0.547,11,-10.875,0.355,0.0241,0.313,0.71,92.12,4
Me Or The Papes,Jeru The Damaja,90,265533,54,0.713,0.597,6,-10.741,0.37,0.0314,0.0348,0.803,169.646,5
Wreckonize - Remix Vocal,Smif-N-Wessun,90,233199,53,0.775,0.451,1,-9.164,0.0567,0.296,0.123,0.559,92.986,4
Award Tour,A Tribe Called Quest,90,226440,64,0.812,0.6,7,-9.414,0.254,0.00308,0.173,0.555,97.338,4
Fakin Jax,"Pete Rock,InI",90,339826,45,0.675,0.71,10,-7.272,0.295,0.035,0.348,0.729,87.681,4
Hypnotize - 2014 Remaster,The Notorious B.I.G.,90,229826,80,0.901,0.697,9,-3.439,0.28,0.145,0.287,0.67,93.941,4
They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,90,286693,61,0.761,0.683,2,-10.889,0.164,0.141,0.342,0.671,101.787,4
Quiet Storm,Mobb Deep,90,265493,60,0.79,0.728,2,-9.221,0.391,0.366,0.112,0.403,96.978,4
Crush on You,Lil' Kim,90,275640,57,0.827,0.635,11,-6.77,0.251,0.278,0.109,0.766,88.87,4
Big Pimpin',"JAY-Z,UGK",90,283066,69,0.88,0.814,11,-6.307,0.14,0.168,0.0584,0.942,138.083,4
Juicy - 2005 Remaster,The Notorious B.I.G.,90,302760,75,0.889,0.818,9,-4.639,0.253,0.47,0.179,0.782,96.063,4
Resurrection,Common,90,227826,52,0.769,0.682,1,-12.584,0.354,0.0252,0.702,0.433,91.486,4
Brooklyn Zoo,Ol' Dirty Bastard,90,217506,57,0.704,0.701,2,-8.031,0.46,0.549,0.664,0.618,92.032,4
